"","x","y","type"
"1",0.0552,1.2625,"blue holes"
"2",0.1103,1.3974,"blue holes"
"3",0.1655,1.5271,"blue holes"
"4",0.2207,1.6492,"blue holes"
"5",0.2759,1.7613,"blue holes"
"7",0.3862,1.9473,"blue holes"
"8",0.4414,2.0178,"blue holes"
"9",0.4966,2.0712,"blue holes"
"10",0.5517,2.1067,"blue holes"
"11",0.6069,2.1236,"blue holes"
"13",0.7172,2.1004,"blue holes"
"14",0.7724,2.0608,"blue holes"
"15",0.8276,2.0035,"blue holes"
"16",0.8828,1.9294,"blue holes"
"17",0.9379,1.8401,"blue holes"
"19",1.0483,1.6227,"blue holes"
"20",1.1034,1.4987,"blue holes"
"21",1.1586,1.3676,"blue holes"
"22",1.2138,1.2319,"blue holes"
"23",1.269,1.0942,"blue holes"
"25",1.3793,0.8231,"blue holes"
"26",1.4345,0.6949,"blue holes"
"27",1.4897,0.5748,"blue holes"
"28",1.5448,0.4653,"blue holes"
"29",1.6,0.3682,"blue holes"
"31",1.7103,0.2188,"blue holes"
"32",1.7655,0.1692,"blue holes"
"33",1.8207,0.1379,"blue holes"
"34",1.8759,0.1253,"blue holes"
"35",1.931,0.1316,"blue holes"
"37",2.0414,0.2005,"blue holes"
"38",2.0966,0.2617,"blue holes"
"39",2.1517,0.3393,"blue holes"
"40",2.2069,0.4318,"blue holes"
"41",2.2621,0.5375,"blue holes"
"43",2.3724,0.7801,"blue holes"
"44",2.4276,0.9124,"blue holes"
"45",2.4828,1.0488,"blue holes"
"46",2.5379,1.1866,"blue holes"
"47",2.5931,1.3233,"blue holes"
"49",2.7034,1.5827,"blue holes"
"50",2.7586,1.7006,"blue holes"
"51",2.8138,1.8076,"blue holes"
"52",2.869,1.9016,"blue holes"
"53",2.9241,1.9808,"blue holes"
"55",3.0345,2.0894,"blue holes"
"56",3.0897,2.1166,"blue holes"
"57",3.1448,2.125,"blue holes"
"58",3.2,2.1144,"blue holes"
"59",3.2552,2.085,"blue holes"
"61",3.3655,1.9724,"blue holes"
"62",3.4207,1.8913,"blue holes"
"63",3.4759,1.7957,"blue holes"
"64",3.531,1.6873,"blue holes"
